id,latitude,longitude,scientific,university
74479159,25.02547854,121.5274789,Crinum asiaticum,NTNU
74479207,25.02549362,121.5275029,Cordyline,NTNU
74479387,25.02496428,121.5277314,Parthenocissus tricuspidata,NTNU
74484784,25.02501066,121.5272309,Spathiphyllum wallisii,NTNU
74484875,25.02499631,121.5272107,Plantae,NTNU
74484989,25.02499994,121.5271489,Osmanthus fragrans,NTNU
74485339,25.02556279,121.526746,Ficus microcarpa,NTNU
74485455,25.02555711,121.526709,Oplismenus,NTNU
74485763,25.02573624,121.526244,Tracheophyta,NTNU
74485797,25.02573752,121.5262697,Ginkgo biloba,NTNU
74485827,25.02573618,121.5261759,Juniperus,NTNU
74485920,25.02584491,121.5260859,Amaryllidoideae,NTNU
74486002,25.02586159,121.5260985,Chrysomya megacephala,NTNU
74486229,25.02613903,121.5262881,Plectranthinae,NTNU
74486236,25.02617318,121.5262749,Ruellia simplex,NTNU
74486305,25.0262106,121.526313,Stachytarpheta urticifolia,NTNU
74486360,25.02620385,121.5263209,Cordyline fruticosa,NTNU
74493602,25.02603976,121.5272794,Prunus campanulata,NTNU
74493622,25.02625837,121.527342,Magnolia,NTNU
74494226,25.02579117,121.5273972,Hydrangea macrophylla,NTNU
74819812,25.02640601,121.5275714,Gardenia jasminoides,NTNU
74819898,25.02654454,121.5276321,Ginkgo biloba,NTNU
74820125,25.02633383,121.5275476,Mangifera indica,NTNU
74820163,25.02634652,121.5275873,Phoenix dactylifera,NTNU
74820322,25.02642897,121.5277003,Pentas lanceolata,NTNU
74820402,25.02645301,121.5275162,Argyranthemum frutescens,NTNU
74820482,25.02619543,121.5271094,Codiaeum variegatum,NTNU
74820537,25.02649741,121.5276576,Pieris canidia,NTNU
74820593,25.0263636,121.5278346,Ixora coccinea,NTNU
74820992,25.0257063,121.5270251,Calyptocarpus vialis,NTNU
74821484,25.02598995,121.527295,Gorsachius melanolophus,NTNU
74821501,25.02598642,121.5274459,Gorsachius melanolophus,NTNU
74914804,25.0262177,121.5262997,Christella acuminata,NTNU
75181569,25.02618358,121.5263004,Plantae,NTNU
75181658,25.02617145,121.526304,Plantae,NTNU
77580094,25.02608163,121.527914,Gracupica nigricollis,NTNU
77580122,25.02592628,121.5278517,Gracupica nigricollis,NTNU
77596822,25.02521886,121.5276688,Locustini,NTNU
78177684,25.02549386,121.5271274,Coffea arabica,NTNU
78178104,25.02528899,121.5274069,Asclepias curassavica,NTNU
78178634,25.02549345,121.5276447,Calyptocarpus vialis,NTNU
78179059,25.02570725,121.5279606,Gardenia jasminoides,NTNU
78179656,25.02639112,121.5274698,Acridotheres tristis,NTNU
78180433,25.02627523,121.5259511,Stachytarpheta urticifolia,NTNU
78313853,25.02533248,121.5272764,Pyralidae,NTNU
83494490,25.0254137,121.5255106,Pica serica,NTNU
83779423,25.0261656,121.5275484,Gorsachius melanolophus,NTNU
91402267,25.02509803,121.5264365,Barringtonia racemosa,NTNU
101246524,25.02662468,121.5254898,Melaleuca,NTNU
101246549,25.02657318,121.5254135,Melaleuca,NTNU
101246567,25.0267086,121.5252686,Lygodium japonicum,NTNU
101924087,25.02643333,121.5272967,Melaleuca leucadendra,NTNU
102225683,25.0258932,121.5275319,,NTNU
102703008,25.0259111,121.5275417,Gorsachius melanolophus,NTNU
102805673,25.0262386,121.5271112,Pheidole megacephala,NTNU
103354875,25.0250976,121.5277912,Aedes albopictus,NTNU
103406377,25.02623069,121.5274804,Pica serica,NTNU
105495105,25.0261656,121.5275484,Melaleuca leucadendra,NTNU
108561019,25.02616994,121.5275484,Cassia fistula,NTNU
108561137,25.02616994,121.5275484,Macaranga tanarius,NTNU
114141698,25.02489397,121.528161,Heliotropium arboreum,NTNU
114141782,25.02489397,121.528161,Podocarpus macrophyllus,NTNU
114141857,25.02489397,121.528161,Radermachera hainanensis,NTNU
