id,latitude,longitude,scientific,university
194908371,25.01504737,121.5427656,Histia flabellicornis,NTUST
200158998,25.0138471,121.5436013,Gallinula chloropus,NTUST
201766162,25.0122096,121.544084,Livistona,NTUST
201766344,25.01198563,121.5441401,Epipremnum aureum,NTUST
201887674,25.01238888,121.54415,Bubulcus coromandus,NTUST
202774895,25.01336945,121.543495,Calanthe formosana,NTUST
203470965,25.01330556,121.5400583,Murdannia loriformis,NTUST
203867225,25.01528475,121.5425314,Caryota,NTUST
208861503,25.01415989,121.5423505,,NTUST
208865461,25.01368888,121.541795,,NTUST
208865513,25.01365833,121.5417633,,NTUST
208865540,25.01299167,121.5411783,Gardenia jasminoides,NTUST
208865567,25.01364445,121.54172,Rhododendron,NTUST
209217425,25.0138512,121.542174,Elephantopus mollis,NTUST
212596269,25.01503333,121.5428,Nicotiana plumbaginifolia,NTUST
212797273,25.01416667,121.5416472,Trachemys scripta,NTUST
215198258,25.01420394,121.5425339,Callosciurus erythraeus thaiwanensis,NTUST
218023775,25.01455372,121.5431917,Ludwigia octovalvis,NTUST
218037068,25.01348209,121.5421249,Magnolia grandiflora,NTUST
218037724,25.01353618,121.5420992,Morinda citrifolia,NTUST
